OID,Station Name,Component Type,Component Description,Additional Information,High kV,Low kV,Tertiary kV,Units,Length,ISO Control,Group,T-Line Name,Rating Type,High Rating,Duration,Note #,Rating Type.1,High Rating.1,Duration.1,Note #.1,Rating Type.2,High Rating.2,Duration.2,Note #.2,Rating Type.3,High Rating.3,Duration.3,Note #.3,Rating Type.4,High Rating.4,MVA Rating,MVAr High,MVAr Low,Con,Duration.4,Note #.4,Low Rating,Low Rating.1,Low Rating.2,Low Rating.3,Line Number,Type of Change
166697,SUB2,COND,BK 1 - DISC 171 To XFMR BK 1 LS,1-1113 AAC - COMPRESSION - INTERIOR RATING,115kV,,,AMPS,,Y,,,SN (N),975,0,,SE (A),1101,4,,WN (B),1378,0,,WE (C),1460,4,,,,,,,,,,,,,,,
166692,SUB2,COND,BK 1 - DISC 173 To DISC 177 & DISC 179,"3/4"" CU TUBE SCH 40 - INTERIOR RATING",115kV,,,AMPS,,Y,,,SN (N),725,0,,SE (A),915,4,,WN (B),1005,0,,WE (C),1150,4,,,,,,,,,,,,,,,
170129,SUB2,DISC,19,,60kV,,,AMPS,,Y,,,SN (N),3000,0,,SE (A),3000,0,,WN (B),3000,0,,WE (C),3000,0,,,,,,,,,,,,,,,
96675,SUB2,CB,412,,230kV,,,AMPS,,Y,,,SN (N),2000,0,,SE (A),2000,0,,WN (B),2000,0,,WE (C),2000,0,,,,,,,,,,,,,,,
155236,SUB2,DISC,413,,230kV,,,AMPS,,Y,,,SN (N),1600,0,,SE (A),1600,0,,WN (B),1600,0,,WE (C),1600,0,,,,,,,,,,,,,,,
155237,SUB2,DISC,417,,230kV,,,AMPS,,Y,,,SN (N),1200,0,,SE (A),1200,0,,WN (B),1200,0,,WE (C),1200,0,,,,,,,,,,,,,,,
96676,SUB2,CB,452,,230kV,,,AMPS,,Y,,,SN (N),2000,0,,SE (A),2000,0,,WN (B),2000,0,,WE (C),2000,0,,,,,,,,,,,,,,,
155238,SUB2,DISC,453,,230kV,,,AMPS,,Y,,,SN (N),1600,0,,SE (A),1600,0,,WN (B),1600,0,,WE (C),1600,0,,,,,,,,,,,,,,,
96677,SUB2,CB,462,,230kV,,,AMPS,,Y,,,SN (N),2000,0,,SE (A),2000,0,,WN (B),2000,0,,WE (C),2000,0,,,,,,,,,,,,,,,
155239,SUB2,DISC,463,,230kV,,,AMPS,,Y,,,SN (N),1600,0,,SE (A),1600,0,,WN (B),1600,0,,WE (C),1600,0,,,,,,,,,,,,,,,
155240,SUB2,DISC,471,,230kV,,,AMPS,,Y,,,SN (N),2000,0,,SE (A),2000,0,,WN (B),2000,0,,WE (C),2000,0,,,,,,,,,,,,,,,
96678,SUB2,CB,472,,230kV,,,AMPS,,Y,,,SN (N),2000,0,,SE (A),2000,0,,WN (B),2000,0,,WE (C),2000,0,,,,,,,,,,,,,,,
155241,SUB2,DISC,473,,230kV,,,AMPS,,Y,,,SN (N),2000,0,,SE (A),2000,0,,WN (B),2000,0,,WE (C),2000,0,,,,,,,,,,,,,,,
155242,SUB2,DISC,481,,230kV,,,AMPS,,Y,,,SN (N),2000,0,,SE (A),2000,0,,WN (B),2000,0,,WE (C),2000,0,,,,,,,,,,,,,,,
