OID,Station Name,Component Type,Component Description,Additional Information,High KV,Low KV,Tertiary KV,Units,Length,ISO Control,Group,T-Line Name,Rating Type,AMP Rating,Duration,Note #,Rating Type.1,AMP Rating.1,Duration.1,Note #.1,Rating Type.2,AMP Rating.2,Duration.2,Note #.2,Rating Type.3,AMP Rating.3,Duration.3,Note #.3,Rating Type.4,AMP Rating.4,MVA Rating,MVAr High,MVAr Low,Con,Duration.4,Note #.4,Mismatch,Type of Change
182003.0,SUB2,BUS,115 kV BUS 2 ,"2"" IPS CU - INTERIOR RATING (2"" IPS CU, 2-2300 KCMIL AL, 4"" AL Tube - SCH 80)",,,,AMPS,,Y,,,SN (N),,0,,SE (A),,4,,WN (B),,0,,WE (C),,4,,,,,,,,,,Yes,"Updated: OID, Component Description, Additional Information, High KV, Group, AMP Rating, Duration, AMP Rating.1, Duration.1, AMP Rating.2, Duration.2, AMP Rating.3, Duration.3"
173428.0,SUB2,BUS,115 kV BUS 1,"2"" IPS CU - INTERIOR RATING (2"" IPS CU, 2-2300 KCMIL AL, 4"" AL Tube - SCH 80)",,,,AMPS,,Y,,,SN (N),,0,,SE (A),,4,,WN (B),,0,,WE (C),,4,,,,,,,,,,Yes,"Updated: OID, Component Description, Additional Information, High KV, Group, AMP Rating, Duration, AMP Rating.1, Duration.1, AMP Rating.2, Duration.2, AMP Rating.3, Duration.3"
96655.0,SUB2,CB,132,,,,,AMPS,,Y,,,SN (N),,0,,SE (A),,4,,WN (B),,0,,WE (C),,4,,,,,,,,,,Yes,"Updated: OID, High KV, Group, AMP Rating, Duration, AMP Rating.1, Duration.1, AMP Rating.2, Duration.2, AMP Rating.3, Duration.3"
155179.0,SUB2,DISC,133,,,,,AMPS,,Y,,,SN (N),,0,,SE (A),,4,,WN (B),,0,,WE (C),,4,,,,,,,,,,Yes,"Updated: OID, High KV, Group, AMP Rating, Duration, AMP Rating.1, Duration.1, AMP Rating.2, Duration.2, AMP Rating.3, Duration.3"
155180.0,SUB2,DISC,135,,,,,AMPS,,Y,,,SN (N),,0,,SE (A),,4,,WN (B),,0,,WE (C),,4,,,,,,,,,,Yes,"Updated: OID, High KV, Group, AMP Rating, Duration, AMP Rating.1, Duration.1, AMP Rating.2, Duration.2, AMP Rating.3, Duration.3"
155181.0,SUB2,DISC,137,,,,,AMPS,,Y,,,SN (N),,0,,SE (A),,4,,WN (B),,0,,WE (C),,4,,,,,,,,,,Yes,"Updated: OID, High KV, Group, AMP Rating, Duration, AMP Rating.1, Duration.1, AMP Rating.2, Duration.2, AMP Rating.3, Duration.3"
155182.0,SUB2,DISC,139,,,,,AMPS,,Y,,,SN (N),,0,,SE (A),,4,,WN (B),,0,,WE (C),,4,,,,,,,,,,Yes,"Updated: OID, High KV, Group, AMP Rating, Duration, AMP Rating.1, Duration.1, AMP Rating.2, Duration.2, AMP Rating.3, Duration.3"
170128.0,SUB2,DISC,17,,60kV,,,AMPS,,Y,,,SN (N),3000.0,0,,SE (A),3000.0,0,,WN (B),3000.0,0,,WE (C),3000.0,0,,,,,,,,,,No,
166697.0,SUB2,COND,BK 1 - DISC 171 To XFMR BK 1 LS,1-1113 AAC - COMPRESSION - INTERIOR RATING,115kV,,,AMPS,,Y,,,SN (N),975.0,0,,SE (A),1101.0,4,,WN (B),1378.0,0,,WE (C),1460.0,4,,,,,,,,,,No,
166692.0,SUB2,COND,BK 1 - DISC 173 To DISC 177 & DISC 179,"3/4"" CU TUBE SCH 40 - INTERIOR RATING",115kV,,,AMPS,,Y,,,SN (N),725.0,0,,SE (A),915.0,4,,WN (B),1005.0,0,,WE (C),1150.0,4,,,,,,,,,,No,
170129.0,SUB2,DISC,19,,60kV,,,AMPS,,Y,,,SN (N),3000.0,0,,SE (A),3000.0,0,,WN (B),3000.0,0,,WE (C),3000.0,0,,,,,,,,,,No,
96675.0,SUB2,CB,412,,230kV,,,AMPS,,Y,,,SN (N),2000.0,0,,SE (A),2000.0,0,,WN (B),2000.0,0,,WE (C),2000.0,0,,,,,,,,,,No,
155236.0,SUB2,DISC,413,,230kV,,,AMPS,,Y,,,SN (N),1600.0,0,,SE (A),1600.0,0,,WN (B),1600.0,0,,WE (C),1600.0,0,,,,,,,,,,No,
155237.0,SUB2,DISC,417,,230kV,,,AMPS,,Y,,,SN (N),1200.0,0,,SE (A),1200.0,0,,WN (B),1200.0,0,,WE (C),1200.0,0,,,,,,,,,,No,
96676.0,SUB2,CB,452,,230kV,,,AMPS,,Y,,,SN (N),2000.0,0,,SE (A),2000.0,0,,WN (B),2000.0,0,,WE (C),2000.0,0,,,,,,,,,,No,
155238.0,SUB2,DISC,453,,230kV,,,AMPS,,Y,,,SN (N),1600.0,0,,SE (A),1600.0,0,,WN (B),1600.0,0,,WE (C),1600.0,0,,,,,,,,,,No,
96677.0,SUB2,CB,462,,230kV,,,AMPS,,Y,,,SN (N),2000.0,0,,SE (A),2000.0,0,,WN (B),2000.0,0,,WE (C),2000.0,0,,,,,,,,,,No,
155239.0,SUB2,DISC,463,,230kV,,,AMPS,,Y,,,SN (N),1600.0,0,,SE (A),1600.0,0,,WN (B),1600.0,0,,WE (C),1600.0,0,,,,,,,,,,No,
155240.0,SUB2,DISC,471,,230kV,,,AMPS,,Y,,,SN (N),2000.0,0,,SE (A),2000.0,0,,WN (B),2000.0,0,,WE (C),2000.0,0,,,,,,,,,,No,
96678.0,SUB2,CB,472,,230kV,,,AMPS,,Y,,,SN (N),2000.0,0,,SE (A),2000.0,0,,WN (B),2000.0,0,,WE (C),2000.0,0,,,,,,,,,,No,
155241.0,SUB2,DISC,473,,230kV,,,AMPS,,Y,,,SN (N),2000.0,0,,SE (A),2000.0,0,,WN (B),2000.0,0,,WE (C),2000.0,0,,,,,,,,,,No,
155242.0,SUB2,DISC,481,,230kV,,,AMPS,,Y,,,SN (N),2000.0,0,,SE (A),2000.0,0,,WN (B),2000.0,0,,WE (C),2000.0,0,,,,,,,,,,No,
96679.0,SUB2,CB,482,,230kV,,,AMPS,,Y,,,SN (N),2000.0,0,,SE (A),2000.0,0,,WN (B),2000.0,0,,WE (C),2000.0,0,,,,,,,,,,No,
155243.0,SUB2,DISC,483,,230kV,,,AMPS,,Y,,,SN (N),2000.0,0,,SE (A),2000.0,0,,WN (B),2000.0,0,,WE (C),2000.0,0,,,,,,,,,,No,
120518.0,SUB2,CB,82,,60kV,,,AMPS,,Y,,,SN (N),3000.0,0,,SE (A),3000.0,0,,WN (B),3000.0,0,,WE (C),3000.0,0,,,,,,,,,,No,
176171.0,SUB2,COND,CB412 (lowest rated cond),643.7 MCM Cu (hollow core),230kV,,,AMPS,,Y,,,SN (N),786.0,0,,SE (A),928.0,4,,WN (B),1222.0,0,,WE (C),1307.0,4,,,,,,,,,,No,
166650.0,SUB2,COND,SUB1-SUB2 - CB 132 (smallest TERM cond),"SN/WN 3/4"" IPS CU; SE/WE 715 KCMIL AL - SPECIAL RATING PER 073137 - INTERIOR RATINGS (3/4"" IPS CU, 715 KCMIL AL - SPECIAL RATING PER 073137, 1113 KCMIL AL - SPECIAL RATING PER 073137)",,,,AMPS,,Y,,,SN (N),,0,,SE (A),,4,,WN (B),,0,,WE (C),,4,,,,,,,,,,Yes,"Updated: OID, Additional Information, High KV, Group, AMP Rating, Duration, AMP Rating.1, Duration.1, AMP Rating.2, Duration.2, AMP Rating.3, Duration.3"
166651.0,SUB2,CT,CB 132,1000/5*2 TRF = 2000A; Installed 2002,,,,AMPS,,Y,,,SN (N),,0,,SE (A),,4,,WN (B),,0,,WE (C),,4,,,,,,,,,,Yes,"Updated: OID, Component Description, High KV, Group, AMP Rating, Duration, AMP Rating.1, Duration.1, AMP Rating.2, Duration.2, AMP Rating.3, Duration.3"
166652.0,SUB2,WTRP,SUB1-SUB2 - CB 132,,,,,AMPS,,Y,,,SN (N),,0,,SE (A),,4,,WN (B),,0,,WE (C),,4,,,,,,,,,,Yes,"Updated: OID, Component Description, High KV, Group, AMP Rating, Duration, AMP Rating.1, Duration.1, AMP Rating.2, Duration.2, AMP Rating.3, Duration.3"
